Violation Type,Violation Section,Violation Description,classification,Charge Level,charge_rows,distinct_source_ids
MC,9.20.020C,NO PERSON SHALL CAMP ETC. ON PRIVATE PROPERTY W/O PERMISSION (M),other,INFRACTION,64,61
PC,530,PERSONATE TO GET MONEY/PROP [OVER $400] (F),other,FELONY,63,63
PC,4573.9,NON-INMATE SELL CNTL SUB TO PERS IN CUST (F),other,FELONY,63,63
PC,273A(A),WILLFUL CRUELTY TO CHILD:WITH MINOR INJURY (M),ambiguous_related,MISDEMEANOR,62,62
HS,11550(E),UNDER INFL OF SPEC CONT SUBS:POSS FIREARM (F),other,FELONY,61,61
PC,451C,ARSON:STRUCTURE/FOREST LAND (F),other,FELONY,61,61
MC,10.32.040(A),Posses open alcoholic container in public,other,MISDEMEANOR,61,59
PC,417A2,EXHIBIT FIREARM (M),other,MISDEMEANOR,60,60
VC,23550(A),DUI W/PRIOR SPECIFIC CONVICTIONS (F),other,FELONY,59,59
PC,25850(C)(2),CARRY STOLEN LOADED FIREARM (F),other,FELONY,58,58
PC,32,ACCESSORY TO FELONY (F),other,FELONY,57,56
PC,273.5A,SPOUSAL/COHABITANT ABUSE WITH MINOR INJURY,core_dv,FELONY,57,57
PC,647(F)DK,DISORD CONDUCT:UNDER INFL OF TOLUENE (M),other,MISDEMEANOR,57,57
PC,368(B)(1),ACTIONS LIKELY TO CAUSE HARM/DEATH OF ELDER /DEPENDENT ADULT (M),ambiguous_related,MISDEMEANOR,57,56
VC,24252A,FAILURE TO MAINTAIN VEH LIGHTING EQUIP (I),other,INFRACTION,55,55
PC,4600,DAMAGE JAIL/PRISON/PROPERTY (OVER $950) (F),other,FELONY,55,55
PC,475(C),PASS COMPLETED CHECK WITH INTENT TO DEFRAUD (F),other,FELONY,54,54
HS,11377(A),POSSESS CONTROLLED SUBSTANCE,other,MIS,54,51
PC,484G,THEFT BY USE OF ACCESS CARD INFORMATION [OVER $950] (F),other,FELONY,53,52
PC,166(C)(4),VIOLATE PROTECTIVE ORDER:DOMESTIC VIOL:W/PR (F),dv_labeled_order,FELONY,53,53
VC,14601.1(A),DRVG WHILE LIC SUSP OR REVOKED:OTHER REASONS (I),other,MISDEMEANOR,52,52
VC,10852,TAMPER WITH VEH,other,MISDEMEANOR,52,52
PC,69,OBSTRUCT/RESIST EXECUTIVE OFFICER WITH SERIOUS INJURY (F),other,FELONY,51,51
VC,22450(A),FAILED TO STOP FOR STOP SIGN (I),other,INFRACTION,50,50
VC,2800.4,EVADING A PEACE OFFICER:WRONG WAY DRIVER (F),other,FELONY,49,49
PC,368(D),THEFT OF ELDER/DEPENDENT ADULT (LARCENY OVER $950) (F),ambiguous_related,FELONY,48,48
PC,666.1(A)(1),GRAND THEFT (SHOPLIFT) W/2+ PRIOR CONVICTIONS (F),other,FELONY,48,47
VC,10851(E),TAKE VEHICLE WITHOUT OWNER CONSENT WITH SPECIFIC PRIORS (F),other,FELONY,47,47
PC,25850(C)(3),CRIMINAL STREET GANG MEMBER CARRY LOADED FIREARM (F),other,FELONY,47,45
BP,25661,POSS/USE FALSE EVIDENCE OF AGE (M),other,MISDEMEANOR,46,46
PC,290.018(A),SEX OFFENDER FAIL TO REGISTER/ETC (M),other,MISDEMEANOR,45,45
PC,23900,ALTER/REMOVE/ETC IDENTIFICATION MARKS ON FIREARM (F),other,FELONY,44,43
VC,4462B,DISPLAY ON VEH/GIVE TO PEACE OFCR FALSE REGISTRATION (I),other,INFRACTION,44,44
PC,647(H),DISORD CONDUCT:PROWL/LOITER PRIVATE PROP (M),other,MISDEMEANOR,44,44
VC,4463(A)(1),FORGE/ALTER VEHICLE REGISTRATION/ETC (M),other,MISDEMEANOR,43,43
ZZ,980000,COUNTY/MUNICIPAL ORDINANCES,other,INFRACTION,43,40
PC,475A,POSS BAD CHECK (F),other,FELONY,43,43
PC,290.018(G),290 VIOLATION TRAN 30 DAY UPDATE (M),other,MISDEMEANOR,42,42
BP,25620,POSS OPEN CONTAINER OF ALC IN PUBLIC (I),other,INFRACTION,42,40
VC,21453A,SIGNAL LIGHTS:CIRCULAR RED (I),other,INFRACTION,42,42
HS,11350(A),POSS NARCOTIC CONTROLLED SUBS,other,MISDEMEANOR,41,40
PC,261(A)(2),RAPE BY FORCE/FEAR (F),ambiguous_related,FELONY,41,37
PC,508,EMBEZZLEMENT BY EMPLOYEE [OVER $950],other,FELONY,41,41
VC,23550.5(A),DRIVING UNDER INFLUENCE WITHIN 10 YEARS OF PRIOR FELONY DUI (F),other,FELONY,41,41
PC,33210,MANUFACTURE/IMPORT/POSSESS/ETC SHORT-BARRELED RIFLE/SHOTGUN (F),other,FELONY,40,40
HS,11357(A)(2),POSSESS MARIJUANA 28.5 GRAMS OR LESS - 18-21 (I),other,INFRACTION,40,40
PC,4573.9(A),NON-INMATE SELL CNTL SUB TO PERS IN CUST (F),other,FELONY,40,37
PC,470B,POSSESS DRIVER'S LICENSE/IDENTIFICATION TO COMMIT FORGERY (F),other,FELONY,39,39
HS,11370.4(B)4,AMPH/METH/PCP OVER 20KG OR 400L (BAIL+),other,OTHER,39,33
PC,381B,POSS NITROUS OXIDE (M),other,MISDEMEANOR,38,33
