cohort,label,unitid,campus_id,institution_name,opeid,branch,address,city,state,zip,reported_enrollment_men,reported_enrollment_women,reported_enrollment_total,filter_2022,filter_2023,filter_2024,candidate_first_campus_suffix001,housing_analysis_selection,source_file
Additional public,Florida,134130,134130032,University of Florida,00153500,UF MBA South Florida Campus,"2900 Monarch Lakes Boulevard, Suite 102",Miramar,FL,33027,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130033,University of Florida,00153500,Hialeah Dental Center Campus,750 E 25th St,Hialeah,FL,33013,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130034,University of Florida,00153500,NCEF Naples Pediatric Dental Center Campus,"7505 Grand Lely Dr, Bld L",Naples,FL,34113,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130035,University of Florida,00153500,St. Petersburg Dental Clinic,"C.W. Bill Young University Partnership Building, 9200 113th St",Seminole,FL,33772,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130036,University of Florida,00153500,IFAS Equine Science Center,2655 NW 100th St,Ocala,FL,34475,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130037,University of Florida,00153500,IFAS Horse Teaching Unit,1934 SW 63rd Ave.,Gainesville,FL,32608,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130038,University of Florida,00153500,UF IFAS CALS at Plant City,1200 N Park Rd,Plant City,FL,33563,24863,31448,56311,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130039,University of Florida,00153500,The Herbert Wertheim UF Scripps Institute for Biomedical Innovation & Technology,120 Scripps Way,Jupiter,FL,33458,24863,31448,56311,0,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Florida,134130,134130040,University of Florida,00153500,JaxLab,256 E. Church St.,Jacksonville,FL,32202,24863,31448,56311,0,0,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Virginia,234076,234076001,University of Virginia-Main Campus,00374500,Main Campus,1827 University Ave,CHARLOTTESVILLE,VA,22904,11946,14463,26409,1,1,1,1,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Virginia,234076,234076005,University of Virginia-Main Campus,00374500,University of Virginia Richmond Center,"2810 North Parham Road, Suite 300",Richmond,VA,23294,11946,14463,26409,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Virginia,234076,234076009,University of Virginia-Main Campus,00374500,Mountain Lake Biological Station,240 Salt Pond Cir,Pembroke,VA,24136,11946,14463,26409,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
Additional public,Virginia,234076,234076012,University of Virginia-Main Campus,00374500,Darden Sands Family Grounds,1100 Wilson Boulevard,Arlington,VA,22209,11946,14463,26409,1,1,1,0,NOT SELECTED: require matching residence denominator geography,Oncampuscrime222324.xls
