unitid,institution,cohort,period,measure,category,geography,denominator_basis,reported_count,population_sum,years,rate_per_1000,rate_status,collection_year,interpretation
144050,Chicago,private,pooled,residents,stalking,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
190150,Columbia,ivy,pooled,enrollment,criminal_total,oncampus,enrollment,,106236,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
190150,Columbia,ivy,pooled,housingEnrollment,criminal_total,residential,enrollment,,106236,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
190150,Columbia,ivy,pooled,residents,criminal_total,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
190150,Columbia,ivy,pooled,enrollment,rape,oncampus,enrollment,,106236,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
190150,Columbia,ivy,pooled,housingEnrollment,rape,residential,enrollment,,106236,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
190150,Columbia,ivy,pooled,residents,rape,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
190150,Columbia,ivy,pooled,enrollment,fondling,oncampus,enrollment,,106236,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
190150,Columbia,ivy,pooled,housingEnrollment,fondling,residential,enrollment,,106236,3,,unavailable,2025,Reported offenses relative to enrolled population; not victimization probability
190150,Columbia,ivy,pooled,residents,fondling,residential,residents,,,3,,unavailable,2025,Approximate housing normalization; unmatched property boundaries
