unitid,institution,period,category,measure,geography,reported_count,population_sum,years,rate_per_1000,source_editions,source_basis
139755,Georgia Tech,pooled,aggravated_assault,residents,residential,,,3,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,pooled,aggravated_assault,enrollment,oncampus,,146605,3,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,pooled,aggravated_assault,housingEnrollment,residential,,146605,3,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2022,burglary,residents,residential,,,1,,,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2022,burglary,enrollment,oncampus,,45296,1,,,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2022,burglary,housingEnrollment,residential,,45296,1,,,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2023,burglary,residents,residential,,,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2023,burglary,enrollment,oncampus,,47946,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2023,burglary,housingEnrollment,residential,,47946,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2024,burglary,residents,residential,,,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2024,burglary,enrollment,oncampus,,53363,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2024,burglary,housingEnrollment,residential,,53363,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2025,burglary,residents,residential,,,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2025,burglary,enrollment,oncampus,,,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2025,burglary,housingEnrollment,residential,,,1,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,pooled,burglary,residents,residential,,,3,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,pooled,burglary,enrollment,oncampus,,146605,3,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,pooled,burglary,housingEnrollment,residential,,146605,3,,2026,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2022,motor_vehicle_theft,residents,residential,,,1,,,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2022,motor_vehicle_theft,enrollment,oncampus,,45296,1,,,Institutional reports checked 2026-09-25; cell-specific editions
139755,Georgia Tech,2022,motor_vehicle_theft,housingEnrollment,residential,,45296,1,,,Institutional reports checked 2026-09-25; cell-specific editions
