period,zip_code,variable,n,changed_more_than_1e_7_f,bias_f,mae_f,max_abs_f
primary_2021_2024,91911,mean,1461,1412,-0.0014525388980150403,0.05186619255989041,0.3708333300000035
primary_2021_2024,91917,mean,1461,1425,0.0029697793018479504,0.0563334572895277,0.42083333000000067
primary_2021_2024,91932,mean,1461,1412,-0.004070187132101157,0.05121181137577,0.35833333000000067
primary_2021_2024,91935,mean,1461,1412,-0.005596246427104764,0.055645597173169165,0.4124999999999943
primary_2021_2024,91941,mean,1461,1400,-0.00338898809719357,0.05131600857631765,0.42083333000000067
primary_2021_2024,91942,mean,1461,1400,-0.00338898809719357,0.05131600857631765,0.42083333000000067
primary_2021_2024,91945,mean,1461,1411,-0.0036607001163585454,0.05376138540041064,0.3958333300000021
primary_2021_2024,91950,mean,1461,1422,0.0031493863791923135,0.05208253733059546,0.38333332999999925
primary_2021_2024,91962,mean,1461,1416,-0.0018322868035591355,0.05615630568104038,0.5083333299999993
primary_2021_2024,91977,mean,1461,1412,-0.002579283470225914,0.05291581098562629,0.3791666700000036
primary_2021_2024,91978,mean,1461,1411,-0.004539698918548941,0.054442733292265545,0.4124999999999943
primary_2021_2024,91980,mean,1461,1415,-0.002493581902806308,0.05766201926078032,0.46666667000000217
primary_2021_2024,92003,mean,1461,1414,0.00242095430527022,0.058218224668035626,0.42083333000000067
primary_2021_2024,92004,mean,1461,1428,0.00015439105407267115,0.06817606567419594,0.5708333299999993
primary_2021_2024,92007,mean,1461,1415,0.004242741279945199,0.059218110547570146,0.4375
primary_2021_2024,92008,mean,1461,1410,-0.005581029520876167,0.05648199082135549,0.47083333000000493
primary_2021_2024,92009,mean,1461,1413,-0.000855335297741174,0.05953412399041753,0.5083333299999993
primary_2021_2024,92011,mean,1461,1410,-0.001859571184120436,0.05678472662559895,0.3999999999999986
primary_2021_2024,92014,mean,1461,1422,0.0023660933880903794,0.060134278754277834,0.44583332999999925
primary_2021_2024,92019,mean,1461,1428,0.002094371601642866,0.05368487447638614,0.4125000000000014
