outcome,temperature_f,reference_f,count_ratio,ci95_low,ci95_high,within_pooled_1_99pct,interval
all,50.4,70,0.9953902231922136,0.908416400645305,1.0906911144743934,True,pointwise nominal 95%; exploratory
all,82.5975,70,1.0226045623880085,0.9822876351835798,1.0645762540025618,True,pointwise nominal 95%; exploratory
all,83.19375,70,1.023295202834102,0.9814438922182371,1.0669311617769406,True,pointwise nominal 95%; exploratory
all,83.78999999999999,70,1.0239618272452606,0.9805052846827135,1.0693443880771554,True,pointwise nominal 95%; exploratory
all,84.38624999999999,70,1.0246065991284292,0.9794671489597943,1.071826333422663,True,pointwise nominal 95%; exploratory
all,84.98249999999999,70,1.0252316890536914,0.9783271533395393,1.0743849975459987,True,pointwise nominal 95%; exploratory
all,85.57874999999999,70,1.0258392742102378,0.977085205816585,1.0770260467025536,True,pointwise nominal 95%; exploratory
all,86.175,70,1.026431538008332,0.9757433005232008,1.0797529449120709,True,pointwise nominal 95%; exploratory
all,86.77125,70,1.0270106697275552,0.974305318419049,1.0825671335200417,True,pointwise nominal 95%; exploratory
all,87.36749999999999,70,1.0275788642115893,0.972776798929585,1.0854682423925832,True,pointwise nominal 95%; exploratory
all,87.96375,70,1.0281383216097748,0.9711646982917347,1.0884543169885947,True,pointwise nominal 95%; exploratory
all,88.56,70,1.0286912471656642,0.9694771480212615,1.091522047894668,True,pointwise nominal 95%; exploratory
all,89.15625,70,1.0292398510527823,0.9677232238305967,1.0946669924918466,True,pointwise nominal 95%; exploratory
all,89.7525,70,1.0297863482577847,0.9659127320884953,1.097883781659217,True,pointwise nominal 95%; exploratory
all,90.0,70,1.0300130881059648,0.965146994322947,1.0992387355605133,True,pointwise nominal 95%; exploratory
all,90.34875,70,1.0303326696398603,0.9640553670444658,1.1011664333986715,True,pointwise nominal 95%; exploratory
all,90.945,70,1.0308792806684404,0.9621575945045108,1.1045093832666295,True,pointwise nominal 95%; exploratory
all,91.54124999999999,70,1.0314261816845411,0.96022427089959,1.1079078091493038,True,pointwise nominal 95%; exploratory
all,92.13749999999999,70,1.0319733728420069,0.9582596595452191,1.1113574819170955,True,pointwise nominal 95%; exploratory
all,92.73374999999999,70,1.032520854294763,0.9562675072711284,1.1148546891401574,True,pointwise nominal 95%; exploratory
all,93.32999999999998,70,1.0330686261968163,0.9542511115676968,1.118396167942494,True,pointwise nominal 95%; exploratory
all,93.92625,70,1.0336166887022562,0.9522133792628997,1.121979046325549,True,pointwise nominal 95%; exploratory
all,94.5225,70,1.0341650419652526,0.9501568775183302,1.1256007921727225,True,pointwise nominal 95%; exploratory
