month,agency,domestic_violence_incident,source_rows,distinct_incidents,distinct_offense_ids,distinct_arrest_numbers
2025-06,SAN DIEGO,,740,730,739,738
2025-06,SHERIFF,,392,382,389,390
2025-07,CARLSBAD,,60,60,60,60
2025-07,CHULA VISTA,,104,100,104,104
2025-07,EL CAJON,,84,81,84,84
2025-07,ESCONDIDO,,135,133,135,135
2025-07,HARBOR POLICE,,34,34,34,34
2025-07,LA MESA,,61,61,61,61
2025-07,NATIONAL CITY,,55,54,55,55
2025-07,OCEANSIDE,,124,121,123,123
2025-07,SAN DIEGO,,830,805,827,826
2025-07,SHERIFF,,494,477,491,491
2025-08,CARLSBAD,,64,64,64,64
2025-08,CHULA VISTA,,111,92,111,111
2025-08,EL CAJON,,96,84,96,96
2025-08,ESCONDIDO,,170,165,170,170
2025-08,HARBOR POLICE,,42,42,42,42
2025-08,LA MESA,,69,68,69,69
2025-08,NATIONAL CITY,,49,49,49,49
2025-08,OCEANSIDE,,125,123,125,125
2025-08,SAN DIEGO,,797,781,796,796
2025-08,SHERIFF,,466,453,465,464
2025-09,CARLSBAD,,40,39,40,40
2025-09,CHULA VISTA,,101,98,100,100
2025-09,EL CAJON,,135,103,134,132
2025-09,ESCONDIDO,,124,120,124,124
2025-09,HARBOR POLICE,,33,33,33,33
2025-09,LA MESA,,66,65,66,66
2025-09,NATIONAL CITY,,42,41,42,42
2025-09,OCEANSIDE,,91,90,91,91
2025-09,SAN DIEGO,,746,725,741,740
2025-09,SHERIFF,,445,438,444,444
2025-10,CARLSBAD,,40,40,40,40
2025-10,CHULA VISTA,,100,99,100,100
2025-10,EL CAJON,,80,78,80,80
2025-10,ESCONDIDO,,151,147,151,151
2025-10,HARBOR POLICE,,31,31,31,31
2025-10,LA MESA,,56,55,55,55
2025-10,NATIONAL CITY,,55,46,53,53
2025-10,OCEANSIDE,,94,93,94,93
2025-10,SAN DIEGO,,691,678,689,689
2025-10,SHERIFF,,483,471,483,483
2025-11,CARLSBAD,,72,72,72,72
2025-11,CHULA VISTA,,98,95,98,98
2025-11,EL CAJON,,82,75,82,82
2025-11,ESCONDIDO,,149,149,149,149
2025-11,HARBOR POLICE,,36,34,36,36
2025-11,LA MESA,,65,60,65,64
2025-11,NATIONAL CITY,,46,42,46,46
2025-11,OCEANSIDE,,94,93,93,93
2025-11,SAN DIEGO,,651,643,650,650
2025-11,SHERIFF,,423,407,421,421
2025-12,CARLSBAD,,52,49,51,51
2025-12,CHULA VISTA,,101,101,101,101
