month,group_type,offense_code,offense_description,source_rows
2026-09,A,13C,Intimidation,76
2026-09,A,200,Arson,6
2026-09,A,210,Extortion/Blackmail,4
2026-09,A,220,Burglary/Breaking & Entering,108
2026-09,A,23A,Pocket-Picking,5
2026-09,A,23C,Shoplifting,299
2026-09,A,23D,Theft From Building,19
2026-09,A,23F,Theft From Motor Vehicle,243
2026-09,A,23G,Theft of Motor Vehicle Parts/Accessories,70
2026-09,A,23H,All Other Larceny,370
2026-09,A,240,Motor Vehicle Theft,219
2026-09,A,250,Counterfeiting/Forgery,7
2026-09,A,26A,False Pretenses/Swindle/Confidence Game,21
2026-09,A,26B,Credit Card/Automatic Teller Fraud,2
2026-09,A,26C,Impersonation,100
2026-09,A,26F,Identity Theft,17
2026-09,A,26G,Hacking/Computer Fraud,1
2026-09,A,270,Embezzlement,5
2026-09,A,280,Stolen Property Offenses,37
2026-09,A,290,Destruction/Damage/Vandalism of Property,396
2026-09,A,35A,Drug/narcotic Violations,340
2026-09,A,35B,Drug Equipment Violations,241
2026-09,A,36B,Statutory Rape,1
2026-09,A,370,Pornography/Obscene Material,2
2026-09,A,40B,Assisting or Promoting Prostitution,1
2026-09,A,520,Weapon Law Violations,57
2026-09,A,64B,"Human Trafficking, Involuntary Servitude",1
2026-09,A,720,Animal Cruelty,1
2026-09,B,90B,Curfew/Loitering/Vagrancy Violations,60
2026-09,B,90C,Disorderly Conduct,139
2026-09,B,90D,Driving Under the Influence,92
2026-09,B,90G,Liquor Law Violations,1
2026-09,B,90H,Peeping Tom,1
2026-09,B,90J,Trespass of Real Property,18
2026-09,B,90Z,All Other Offenses,1027
